texto	categoria
Ser invisível sempre que quiser mas não poder usar roupas enquanto invisível	Adultos
Enviar uma mensagem íntima para o contato errado	Adultos
Receber uma mensagem íntima de alguém inesperado	Adultos
Ter todas as suas mensagens e fotos íntimas vazadas publicamente	Adultos
Entrar sem querer no quarto dos seus pais em um momento inadequado	Adultos
Seus pais entrarem sem querer no seu quarto em um momento inadequado	Adultos
Uma noite com seu crush famoso	Adultos
Ter gases no primeiro encontro	Adultos
Ter gases na noite do casamento	Adultos
Acordar nu em uma floresta longe de casa	Adultos
Aparecer apenas de cueca ou calcinha no trabalho	Adultos
Confessar que traiu seu parceiro	Adultos
Descobrir que seu parceiro está te traindo	Adultos
Dar acesso ao seu histórico de navegação para seus pais	Adultos
Dar acesso ao seu histórico de navegação para seu chefe	Adultos
Que seus pais leiam todas as suas mensagens	Adultos
Que seu chefe saiba tudo que você faz nas horas vagas	Adultos
Ficar bêbado com um único gole de álcool	Adultos
Nunca ficar bêbado por mais álcool que beba	Adultos
Ser pego curtindo as fotos do seu ex no Instagram	Adultos
Ser pego curtindo as fotos do ex do seu parceiro	Adultos
Limpar o chão de um banheiro público com a língua	Adultos
Ter visão de raio-X das pessoas que você acha menos atraentes	Adultos
Que todos tenham visão de raio-X de você	Adultos
Viver em uma mansão com seu ex	Adultos
Viver em uma ilha deserta com seu crush famoso	Adultos
Soltar um pum toda vez que conhecer uma pessoa nova	Adultos
Arrotar toda vez que beijar alguém	Adultos
Ter tudo que já publicou nas redes sociais tornado público para sempre	Adultos
Cometer um crime terrível e escapar mas viver com medo de ser descoberto	Adultos
Ser preso por três anos por um crime que não cometeu	Adultos
Perder um dia de vida toda vez que beijar alguém na boca	Adultos
Poder voar, mas só na velocidade de uma caminhada	Família
Falar todos os idiomas do mundo menos o português	Família
Nunca mais poder correr	Família
Só poder comer pizza pelo resto da vida	Família
Nunca mais poder comer doce	Família
Só poder beber água morna pelo resto da vida	Família
Comer a mesma refeição favorita todo dia	Família
Nunca mais poder usar redes sociais	Família
Só poder usar o celular 30 minutos por dia	Família
Viajar para qualquer lugar do mundo sem poder escolher o destino	Família
Chamar o professor de mãe na frente da turma	Família
Aparecer de pijama em uma formatura	Família
Esquecer o nome de alguém que você vê todo dia	Família
Cair de cara no chão em público	Família
Ter a força de um super-herói mas sem controle	Família
Saber tudo sobre ciência mas não entender nada de arte	Família
Poder falar com animais mas todos te odiarem	Família
Não poder falar com animais mas todos te adorarem	Família
Ser perseguido por uma galinha furiosa toda vez que sair de casa	Família
Ter um leão manso com você que aterroriza os vizinhos	Família
Acordar uma vez por semana transformado em um animal aleatório	Família
Ter que carregar um frango vivo na mochila para todo lugar	Família
Ter que viver com um peixe enorme na banheira	Família
Ter que tocar em um caracol todo dia	Família
Um cachorro que late 24 horas sem parar	Família
Nunca mais poder ver animais	Família
correr na velocidade de um carro mas só no chão	Família
entender todos os animais mas não poder se comunicar com humanos	Família
sempre fazer barulhos de digestão em momentos de silêncio	Família
nunca mais poder andar devagar	Família
só poder comer churrasco	Família
nunca mais poder comer sal	Família
nunca poder comer carne de novo	Família
só poder comer comida sem tempero	Família
poder comer qualquer coisa menos a sua favorita	Família
nunca mais poder usar streaming	Família
poder usar celular à vontade mas sem internet	Família
nunca mais poder assistir a vídeos	Família
nunca viajar mas conhecer tudo pelos livros	Família
ir a uma festa fantasiado sem precisar	Família
lembrar de todos os nomes mas sempre chamar pelo errado	Família
ter a velocidade de um super-herói mas só no modo lento	Família
entender tudo de arte mas não saber nada de ciência	Família
ter que tocar em um caracol todo dia	Família
decepcionar um desconhecido toda semana	Família
Ver 10 minutos no futuro	Família
Ver 150 anos no futuro	Família
Ter telecinesia — mover objetos com a mente	Família
Ter telepatia — ler mentes	Família
Fazer equipe com a Mulher-Maravilha	Família
Fazer equipe com a Capitã Marvel	Família
Ser obrigado a cantar junto em toda música que ouvir	Família
Dançar toda música que ouvir sem exceção	Família
Ter o respeito universal de todas as pessoas	Família
Ter poder ilimitado sobre o mundo	Família
Nadar em uma piscina cheia de Nutella	Família
Nadar em uma piscina cheia de mel	Família
Ficar em casa num dia de neve	Família
Construir uma fortaleza de almofadas e cobertores	Família
Comprar 10 coisas que não precisa toda vez que vai às compras	Família
Esquecer sempre o único item que precisa quando vai ao mercado	Família
Ter uma empregada doméstica pessoal	Família
Ter um chef pessoal	Família
Ter o talento da Beyoncé	Família
Ter o faro para negócios do Jay-Z	Família
Ter 3 metros e meio de altura	Família
Ter 23 centímetros de altura	Família
Ser figurante em um filme premiado no Oscar	Família
Ser protagonista em um fracasso de bilheteria	Família
Se comunicar apenas com emojis	Família
Nunca mais poder enviar mensagem de texto	Família
Ser realeza há 1.000 anos atrás	Família
Ser uma pessoa comum nos dias de hoje	Família
Relaxar à beira de uma piscina particular	Família
