id	texto	categoria
470	have the ability to see 10 minutes into the future	Importado
471	have telekinesis (the ability to move things with your mind)	Importado
472	team up with Wonder Woman	Importado
473	be forced to sing along	Importado
474	find true love today	Importado
475	be in jail for five years	Importado
476	have another 10 years with your partner	Importado
477	be chronically under-dressed	Importado
478	have everyone you know be able to read your thoughts	Importado
479	lose your sight	Importado
480	have universal respect	Importado
481	give up air conditioning and heating for the rest of your life	Importado
482	swim in a pool full of Nutella	Importado
483	labor under a hot sun	Importado
484	stay in during a snow day	Importado
485	buy 10 things you don’t need every time you go shopping	Importado
486	never be able to go out during the day	Importado
487	have a personal maid	Importado
488	have Beyoncé’s talent	Importado
489	be 11 feet tall	Importado
490	be an extra in an Oscar-winning movie	Importado
491	vomit on your hero	Importado
492	communicate only in emoji	Importado
493	be royalty 1,000 years ago	Importado
494	lounge by the pool	Importado
495	wear the same socks for a month	Importado
496	work an overtime shift with your annoying boss	Importado
497	cuddle a koala	Importado
498	have a sing-off with Ariana Grande	Importado
499	always have B.O. and not know it	Importado
500	watch nothing but Hallmark Christmas movies	Importado
501	always be 10 minutes late	Importado
502	spend a week in the forest	Importado
503	find a rat in your kitchen	Importado
504	have a pause	Importado
505	always have a full phone battery	Importado
506	lose all your teeth	Importado
507	drink from a toilet	Importado
508	be forced to live the same day over and over again for a full year,	Importado
509	never eat watermelon ever again	Importado
510	get a paper cut every time you turn a page	Importado
511	oversleep every day for a week	Importado
512	die in 20 years with no regrets	Importado
513	sip gin with Ryan Reynolds	Importado
514	get trapped in the middle of a food fight	Importado
515	walk to work in heels	Importado
516	spend a year at war	Importado
517	die before	Importado
518	have a child every year for 20 years	Importado
519	take amazing selfies but look terrible in all other photos	Importado
520	be gassy on a first date	Importado
521	Danny DeVito	Importado
522	be able to take back anything you say	Importado
523	have skin that changes color based on your emotions	Importado
524	hunt and butcher your own meat	Importado
525	lose all of your friends but keep your BFF	Importado
526	have people spread a terrible lie about you	Importado
527	walk in on your parents	Importado
528	be the absolute best at something that no one takes seriously	Importado
529	have unlimited battery life on all of your devices	Importado
530	have Billie Eilish‘s future	Importado
531	have a third nipple	Importado
532	solve world hunger	Importado
533	have to wear every shirt inside out	Importado
534	live in a treehouse	Importado
535	win $25,000	Importado
536	be in history books for something terrible	Importado
537	travel the world for free for a year	Importado
538	your to only be able to talk to your dog	Importado
539	have a mullet for a year	Importado
540	go back to the past and meet your loved ones who passed away	Importado
541	have Angelina Jolie’s lips	Importado
542	stay the age you are physically forever	Importado
543	be in a zombie apocalypse	Importado
544	be alone all your life	Importado
545	give up your cellphone for a month	Importado
546	spend a day cleaning your worst enemy’s house	Importado
547	spend a year entirely alone	Importado
548	buy all used underwear	Importado
549	have a photographic memory	Importado
550	go on a cruise with your boss	Importado
551	forget your partner’s birthday	Importado
552	have to wear stilettos to sleep	Importado
553	change the outcome of the last election	Importado
554	lose the ability to read	Importado
555	smooch Chris Pratt, Chris Pine, Chris Evans	Importado
556	be beautiful and stupid	Importado
557	have seven fingers on each hand	Importado
558	work the job you have now for a year at double your current rate of pay	Importado
559	be always stuck in traffic but find a perfect parking spot	Importado
560	have super-sensitive taste buds	Importado
561	ask your ex	Importado
562	go on tour with Elton John	Importado
563	eat only pizza for a year	Importado
564	never get another present in your life but always pick the perfect present for everyone else	Importado
565	sleep in a doghouse	Importado
566	be able to speak any language	Importado
567	have all of your messages and photos leak publicly	Importado
568	run at 100 mph	Importado
569	have Adele‘s voice	Importado
570	have to wear sweatpants everywhere for the rest of your life	Importado
571	have 10,000 spoons when all you need is a knife	Importado
572	detect every lie you hear	Importado
573	be the funniest person in a room	Importado
574	talk like Yoda	Importado
575	people knew all the details of your finances	Importado
576	listen to your least-favorite song on a loop for a year	Importado
577	go vegan for a month	Importado
578	clean up someone else’s vomit	Importado
579	work for Michael Scott	Importado
580	spend the weekend with pirates	Importado
581	end every phone call with “I love you”	Importado
582	get your paycheck given to you in pennies	Importado
583	see Lady Gaga in a movie	Importado
584	win the lottery but have to spend it all in one day	Importado
585	live until you are 200 and look your age	Importado
586	give up cursing forever	Importado
587	hear a comforting lie	Importado
588	be locked for a week in a room that’s overly bright	Importado
589	someone see all the photos in your phone	Importado
590	have a South Park-themed wedding	Importado
591	have to hunt and gather all of your food	Importado
592	have fortune	Importado
593	celebrate the Fourth of July with Taylor Swift	Importado
594	only be able to listen to one song for the rest of your life	Importado
595	never use social media again	Importado
596	have police hunting you down for a crime you didn’t commit	Importado
597	live a peaceful life in a small cabin in the woods	Importado
598	find your soulmate	Importado
599	drink sour milk	Importado
600	steal Duchess Meghan	Importado
601	never get a cold ever again	Importado
602	be tall and average looking	Importado
603	visit the International Space Station for a week	Importado
604	confess to cheating on your partner	Importado
605	have all traffic lights you approach be green	Importado
606	share an onscreen kiss with Leonardo DiCaprio	Importado
607	never eat Christmas cookies ever again	Importado
608	lose your long-term memory	Importado
609	have a mullet	Importado
610	be stranded in the jungle	Importado
611	everyone you love forget your birthday	Importado
612	be invisible	Importado
613	spend every weekend indoors	Importado
614	party with Jennifer Lopez and Alex Rodriguez	Importado
615	give up wine for a year	Importado
616	start a colony on another planet	Importado
617	live in a house haunted by friendly ghosts	Importado
618	have one wish granted today	Importado
619	get hit on by someone 20 years older than you	Importado
620	fall down in public	Importado
621	only eat raw food	Importado
622	run as fast as The Flash	Importado
623	never have a wedgie	Importado
624	marry the most attractive person you’ve ever met	Importado
625	sing karaoke with Gwen Stefani	Importado
626	go back to kindergarten with everything you know now	Importado
627	be able to read minds	Importado
628	take a pill a day for nutrients and to feel full, but never eat anything again	Importado
629	be an unknown superhero	Importado
630	always have an annoying song stuck in your head	Importado
631	never be able to keep anyone else’s secrets	Importado
632	be Batman	Importado
633	be married to someone stunning who doesn’t think you’re attractive	Importado
634	have a third ear	Importado
635	have $1 million now	Importado
636	binge-watch Sex And the City	Importado
637	be rich working a job you hate	Importado
638	wear real fur	Importado
639	work a high-paying job that you hate	Importado
640	wake up naked in a forest five miles from home	Importado
641	go backstage with your favorite band	Importado
642	never eat your favorite food for the rest of your life	Importado
643	be able to erase your own memories	Importado
644	be so afraid of heights that you can’t go to the second floor of a building	Importado
645	have a rap battle against Nicki Minaj	Importado
646	save your best friend’s life if it meant five strangers would die	Importado
647	give up coffee	Importado
648	find a $100 bill floating in a public toilet	Importado
649	wear nothing but neon orange	Importado
650	eat the same thing for every meal for a year	Importado
651	get drunk off of one sip of alcohol	Importado
652	sell all of your possessions	Importado
653	clean a toilet with your toothbrush	Importado
654	be asked the same question over and over again	Importado
655	be reincarnated as a fly	Importado
656	be serenaded by Justin Bieber	Importado
657	be unable to close any door once it’s open	Importado
658	throw the best parties but have to clean up the mess by yourself	Importado
659	have a tattoo of the title of the last book you read	Importado
660	wear clothes that were always way too big	Importado
661	give your parents	Importado
662	only be able to wash your hair twice a year	Importado
663	have a tennis lesson from Serena Williams	Importado
664	have a permanent unibrow	Importado
665	have aliens be real and covered up by the government	Importado
666	be caught liking your ex’s Instagram pics	Importado
667	never eat cookies ever again	Importado
668	donate your organs to those who need them	Importado
669	be criticized	Importado
670	work alongside Dwight Schrute	Importado
671	be punished for a crime you didn’t commit	Importado
672	eat an undercooked meal	Importado
673	get a cooking lesson from Gordon Ramsay	Importado
674	have your boss	Importado
675	have your first child when you’re 18	Importado
676	star in a Star Wars	Importado
677	wear heels to the gym	Importado
678	give up brushing your hair	Importado
679	master every musical instrument	Importado
680	always have wet socks	Importado
681	have Celine Dion	Importado
682	be the class clown	Importado
683	bathe in the dishwater	Importado
